"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"4/24/2020 11 a.m. EDT",31654,18539,33854,7564,2711,138783,60708,82842,379679
US48,"4/24/2020 12 p.m. EDT",31284,23010,33381,7495,2935,142640,61103,82831,387617
US48,"4/24/2020 1 p.m. EDT",32394,24492,32658,7491,3002,145808,61389,82811,392795
US48,"4/24/2020 2 p.m. EDT",33920,25146,32304,7572,3060,147770,62095,82805,397446
US48,"4/24/2020 3 p.m. EDT",36304,25013,32811,7621,3012,148283,62441,82824,400988
US48,"4/24/2020 4 p.m. EDT",39154,25035,32203,7652,3081,150200,61629,82887,404603
US48,"4/24/2020 5 p.m. EDT",41120,24200,32796,7661,3097,153027,62245,82894,409951
US48,"4/24/2020 6 p.m. EDT",42563,21972,33928,7692,3213,156124,61228,82956,413541
US48,"4/24/2020 7 p.m. EDT",42507,19635,34714,7731,3290,158816,62092,82957,415768
US48,"4/24/2020 8 p.m. EDT",43191,17117,35931,7434,3177,159462,61610,82955,415032
US48,"4/24/2020 9 p.m. EDT",43372,10462,36348,7475,3119,159772,60730,83020,408537
US48,"4/24/2020 10 p.m. EDT",41234,2149,36824,7099,3263,159080,62451,82991,399387
US48,"4/24/2020 11 p.m. EDT",42228,908,34439,6350,3097,150568,60363,82807,384277
US48,"4/25/2020 12 a.m. EDT",41284,178,31803,6303,2704,138920,56560,82736,364415
US48,"4/25/2020 1 a.m. EDT",39568,161,31822,5986,2578,128987,55087,82839,347302
US48,"4/25/2020 2 a.m. EDT",37478,139,28735,6223,2541,120278,51671,82600,329916
US48,"4/25/2020 3 a.m. EDT",35581,104,26327,6278,2345,114575,48858,82455,316906
US48,"4/25/2020 4 a.m. EDT",34140,9,25014,6229,2302,111281,48611,82510,310599
US48,"4/25/2020 5 a.m. EDT",34235,10,24064,6319,2298,109203,47079,82585,306265
US48,"4/25/2020 6 a.m. EDT",33927,16,24085,6513,2302,109272,47244,82738,306601
US48,"4/25/2020 7 a.m. EDT",33325,129,24209,6510,2349,110978,47495,82979,308535
US48,"4/25/2020 8 a.m. EDT",31665,811,26316,6500,2318,113479,48687,82925,313123
US48,"4/25/2020 9 a.m. EDT",28842,2494,28451,6736,2326,116619,49428,82927,318263
US48,"4/25/2020 10 a.m. EDT",23395,8855,30850,6757,2322,121970,50218,82952,327680
US48,"4/25/2020 11 a.m. EDT",21458,18908,31105,6837,2600,125017,50854,82968,340085
US48,"4/25/2020 12 p.m. EDT",21739,22828,32213,7023,2764,127411,52175,83119,349671
US48,"4/25/2020 1 p.m. EDT",22763,24458,32149,7151,2872,129472,54154,83252,356708
US48,"4/25/2020 2 p.m. EDT",23547,24989,32348,7261,2954,132615,55244,83294,362756
US48,"4/25/2020 3 p.m. EDT",25179,25108,31126,7259,2967,137149,55575,83286,368188
US48,"4/25/2020 4 p.m. EDT",27796,25099,30930,7304,2943,141703,55152,83334,374861
US48,"4/25/2020 5 p.m. EDT",29169,24662,31280,7259,2874,146327,56082,83362,381478
US48,"4/25/2020 6 p.m. EDT",30671,23179,32325,7382,2968,151455,57162,83452,389057
US48,"4/25/2020 7 p.m. EDT",30541,20075,34300,7435,2992,154488,57840,83457,391583
US48,"4/25/2020 8 p.m. EDT",29525,16714,35844,7434,3195,158255,61459,83461,396296
US48,"4/25/2020 9 p.m. EDT",28332,9188,36678,7544,3233,160379,63351,83572,392782
US48,"4/25/2020 10 p.m. EDT",27823,1676,36705,7301,3265,158523,63083,83531,382280
US48,"4/25/2020 11 p.m. EDT",29375,153,35082,6958,3170,149510,61494,83332,369410
US48,"4/26/2020 12 a.m. EDT",28932,127,32418,6489,2946,143019,60106,83284,357623
US48,"4/26/2020 1 a.m. EDT",34730,130,29544,6704,2924,126869,53361,83120,337968
US48,"4/26/2020 2 a.m. EDT",34625,119,26726,6632,2825,118644,50477,83166,323824
US48,"4/26/2020 3 a.m. EDT",36026,107,24173,6616,2701,112258,47701,83286,313476
US48,"4/26/2020 4 a.m. EDT",37203,8,24446,6631,2413,106187,44819,83185,305527
US48,"4/26/2020 5 a.m. EDT",38020,7,23799,6741,2334,102456,43236,83248,300470
US48,"4/26/2020 6 a.m. EDT",37713,4,23989,6861,2403,103512,42771,83389,301261
US48,"4/26/2020 7 a.m. EDT",37996,65,24885,6875,2516,103031,43244,83493,302702
US48,"4/26/2020 8 a.m. EDT",37731,873,26462,6819,2430,104778,44008,83559,307250
US48,"4/26/2020 9 a.m. EDT",36092,2672,28341,7067,2450,108744,45066,83547,314492
US48,"4/26/2020 10 a.m. EDT",32916,8775,30659,7255,2756,112514,47707,83546,326632
US48,"4/26/2020 11 a.m. EDT",32481,17100,31772,7317,3071,115157,50233,83593,341210
US48,"4/26/2020 12 p.m. EDT",35936,20482,31647,7387,3166,117384,51382,83691,351539
US48,"4/26/2020 1 p.m. EDT",38685,22458,32010,7471,3128,120563,51619,83761,360165
US48,"4/26/2020 2 p.m. EDT",41543,23589,32386,7566,3117,121818,51269,83771,365494
US48,"4/26/2020 3 p.m. EDT",43282,24388,32674,7570,3022,124166,51444,83783,370735
US48,"4/26/2020 4 p.m. EDT",45950,24026,33379,7390,2966,125889,51818,83871,375662
US48,"4/26/2020 5 p.m. EDT",48088,24054,34462,7453,3062,129404,53005,83915,383780
US48,"4/26/2020 6 p.m. EDT",50982,21903,35280,7697,3228,134450,53753,83983,391472
US48,"4/26/2020 7 p.m. EDT",51597,18363,37997,7979,3221,137493,54830,83961,395590
US48,"4/26/2020 8 p.m. EDT",49601,13381,40543,7971,3396,140673,57241,83691,396582
US48,"4/26/2020 9 p.m. EDT",49662,7848,41194,7895,3368,139998,59302,83364,392669
US48,"4/26/2020 10 p.m. EDT",52472,1868,40595,7680,3210,138182,59365,83396,386968
US48,"4/26/2020 11 p.m. EDT",55258,894,38693,7321,2559,128918,55801,83395,372646
US48,"4/27/2020 12 a.m. EDT",59706,146,35903,6828,2235,114391,48258,84175,352085
US48,"4/27/2020 1 a.m. EDT",55113,124,32984,6605,2006,109391,48225,83333,338276
US48,"4/27/2020 2 a.m. EDT",54690,115,29947,6340,1880,101551,46393,83028,324447
US48,"4/27/2020 3 a.m. EDT",54037,115,27626,6432,1980,96891,44035,82914,314653
US48,"4/27/2020 4 a.m. EDT",54237,17,26389,6402,1992,95359,42859,83029,310828
US48,"4/27/2020 5 a.m. EDT",53160,13,26284,6446,2001,96660,43453,83139,311790
US48,"4/27/2020 6 a.m. EDT",53310,14,27930,6594,2114,101665,45498,83380,321095
US48,"4/27/2020 7 a.m. EDT",52302,142,31131,7021,2263,107130,47915,83525,331982
US48,"4/27/2020 8 a.m. EDT",54310,1143,34487,7197,2467,113230,51605,83434,348286
US48,"4/27/2020 9 a.m. EDT",52866,3984,38043,7336,2721,118776,54760,83449,362301
US48,"4/27/2020 10 a.m. EDT",50175,11254,38037,7385,2935,122561,56655,83497,372889
US48,"4/27/2020 11 a.m. EDT",49023,20874,37947,7253,2862,122668,55647,83503,380398
US48,"4/27/2020 12 p.m. EDT",50438,23827,36157,7254,2980,125163,55270,83513,385133
US48,"4/27/2020 1 p.m. EDT",49786,25750,33976,7597,3143,130294,55934,83496,390643
US48,"4/27/2020 2 p.m. EDT",47071,26698,33043,7707,3553,134460,56419,83395,392866
US48,"4/27/2020 3 p.m. EDT",44495,27557,31962,8155,3277,138518,58926,83358,396871
US48,"4/27/2020 4 p.m. EDT",41741,27106,31901,8214,3385,143992,60784,83349,401127
US48,"4/27/2020 5 p.m. EDT",38989,26671,32832,8420,3466,149903,63158,83347,407357
US48,"4/27/2020 6 p.m. EDT",37157,24581,35607,8522,3502,155545,65049,83389,413843
US48,"4/27/2020 7 p.m. EDT",35229,19783,37358,8565,3532,159811,66951,83380,415134
US48,"4/27/2020 8 p.m. EDT",35010,14919,40040,8672,3558,160369,68826,83421,415273
US48,"4/27/2020 9 p.m. EDT",36967,8507,41455,8638,3548,158851,68365,83410,410307
US48,"4/27/2020 10 p.m. EDT",41473,2156,39746,8246,3488,155224,68227,83456,402734
US48,"4/27/2020 11 p.m. EDT",48140,1013,35858,7589,3248,145119,62851,83465,387346
US48,"4/28/2020 12 a.m. EDT",50403,148,34484,7036,2972,130644,55513,83861,365926
