"Region Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"2/25/2019 4 a.m. EST",403294,46976,69,24428,7325,3550,122759,101419,95295
US48,"2/25/2019 5 a.m. EST",411669,45391,24,24683,7454,3746,128747,104794,95338
US48,"2/25/2019 6 a.m. EST",434644,45101,21,28651,7804,4204,141599,109938,95724
US48,"2/25/2019 7 a.m. EST",465347,45322,172,36242,7907,4793,158986,114511,95907
US48,"2/25/2019 8 a.m. EST",488168,43759,1420,40449,7908,5430,172381,119465,95916
US48,"2/25/2019 9 a.m. EST",494850,42664,3831,41357,8267,5923,174682,121344,95932
US48,"2/25/2019 10 a.m. EST",493405,39525,7456,42194,8002,5940,173069,120463,95799
US48,"2/25/2019 11 a.m. EST",486195,38279,14940,38106,7967,5796,165347,119355,95877
US48,"2/25/2019 12 p.m. EST",475155,39546,18973,35563,7910,4928,155036,116261,96016
US48,"2/25/2019 1 p.m. EST",466868,40324,20211,33284,7758,4599,150200,113250,95990
US48,"2/25/2019 2 p.m. EST",459446,40038,20300,31232,7707,4561,146780,111595,96044
US48,"2/25/2019 3 p.m. EST",453679,39883,19927,30666,7597,4442,144911,108980,96045
US48,"2/25/2019 4 p.m. EST",450765,39288,18984,30035,6679,5061,144834,108484,96104
US48,"2/25/2019 5 p.m. EST",452564,39300,16830,32771,6741,4994,146018,108510,96178
US48,"2/25/2019 6 p.m. EST",462733,39641,13650,38250,6968,5049,151158,110585,96182
US48,"2/25/2019 7 p.m. EST",476982,38681,9538,43070,7115,5190,160659,115319,96225
US48,"2/25/2019 8 p.m. EST",490060,38111,2895,45585,8305,4486,172016,121231,96178
US48,"2/25/2019 9 p.m. EST",492020,39998,189,45770,8099,4384,173038,123004,96201
US48,"2/25/2019 10 p.m. EST",483228,41469,161,43985,7943,4140,167693,120667,96021
US48,"2/25/2019 11 p.m. EST",465588,42900,156,40824,7810,3645,155925,116938,96155
US48,"2/26/2019 12 a.m. EST",440107,47923,134,38080,7733,3234,139691,105071,97163
US48,"2/26/2019 1 a.m. EST",430029,42074,133,33756,7771,3218,138608,107028,96302
US48,"2/26/2019 2 a.m. EST",417705,40885,137,30088,7685,3084,133770,104823,96209
US48,"2/26/2019 3 a.m. EST",412582,39626,138,28319,7559,2875,132267,104490,96214
US48,"2/26/2019 4 a.m. EST",409620,38162,132,25607,7537,2817,132327,105749,96167
US48,"2/26/2019 5 a.m. EST",416350,36874,57,26183,7630,3041,136892,108143,96337
US48,"2/26/2019 6 a.m. EST",434493,35813,25,30707,7722,3117,147615,111717,96527
US48,"2/26/2019 7 a.m. EST",464638,33775,142,37462,6734,4478,166680,117580,96540
US48,"2/26/2019 8 a.m. EST",484115,31621,1158,41570,6855,5140,177251,122543,96511
US48,"2/26/2019 9 a.m. EST",486981,30842,2669,42919,6950,5442,176475,123614,96509
US48,"2/26/2019 10 a.m. EST",483152,29386,6696,42327,6752,5294,170070,124404,96590
US48,"2/26/2019 11 a.m. EST",476898,26818,13788,39447,6728,4892,163629,123245,96639
US48,"2/26/2019 12 p.m. EST",468220,23872,17019,36292,6729,4606,158577,122742,96686
US48,"2/26/2019 1 p.m. EST",457740,21498,17862,33670,7406,3403,154128,121553,96644
US48,"2/26/2019 2 p.m. EST",454098,19649,17635,32276,7431,3287,154197,121680,96682
US48,"2/26/2019 3 p.m. EST",449524,19648,15111,30777,7394,3265,154418,120953,96666
US48,"2/26/2019 4 p.m. EST",447014,20827,13163,30772,7333,3256,153028,120651,96689
US48,"2/26/2019 5 p.m. EST",449739,21204,10376,32837,6601,4261,156290,119976,96696
US48,"2/26/2019 6 p.m. EST",460397,21374,7147,36694,6815,4419,162998,122709,96730
US48,"2/26/2019 7 p.m. EST",473637,21578,3763,39253,6838,4588,172165,127044,96791
US48,"2/26/2019 8 p.m. EST",483235,21591,1013,43030,6980,4936,177547,129654,96732
US48,"2/26/2019 9 p.m. EST",483996,23609,148,43717,8054,4323,178078,127530,96762
US48,"2/26/2019 10 p.m. EST",474096,25064,122,42367,7876,4359,171231,124778,96750
US48,"2/26/2019 11 p.m. EST",455267,25306,103,39681,7825,3776,159471,120684,96705
US48,"2/27/2019 12 a.m. EST",435545,25561,100,35492,7773,3185,146962,118180,96747
US48,"2/27/2019 1 a.m. EST",418087,27636,27,32524,7394,2722,137209,112235,96795
US48,"2/27/2019 2 a.m. EST",404607,28777,23,28230,7313,2639,131464,108314,96693
US48,"2/27/2019 3 a.m. EST",397843,29302,20,25686,7278,2639,128856,106151,96912
US48,"2/27/2019 4 a.m. EST",394934,29449,18,24972,7261,2632,128013,104910,96929
US48,"2/27/2019 5 a.m. EST",400756,29414,42,25491,7438,2533,132418,105744,96934
US48,"2/27/2019 6 a.m. EST",417175,29416,46,30264,7671,2426,140278,109238,96976
US48,"2/27/2019 7 a.m. EST",444042,28065,95,36684,7791,2569,153400,117291,96999
US48,"2/27/2019 8 a.m. EST",462769,27831,622,41099,8055,2815,160829,123803,96899
US48,"2/27/2019 9 a.m. EST",469697,27633,1740,40307,8157,2918,164782,126365,96906
US48,"2/27/2019 10 a.m. EST",474501,27037,4318,42765,7987,3078,165505,126075,96815
US48,"2/27/2019 11 a.m. EST",473340,27039,9427,40981,8097,3115,161643,125336,96806
US48,"2/27/2019 12 p.m. EST",469195,27717,12035,45333,7437,3809,157851,123123,96725
US48,"2/27/2019 1 p.m. EST",465281,28772,14633,36476,8317,2562,157276,119245,96731
US48,"2/27/2019 2 p.m. EST",462251,30881,13985,34707,7101,3385,156191,117906,96766
US48,"2/27/2019 3 p.m. EST",461105,30675,13896,34676,7356,3447,155437,117561,96743
US48,"2/27/2019 4 p.m. EST",460295,30924,13171,34033,7287,3553,154794,118447,96793
US48,"2/27/2019 5 p.m. EST",461772,30488,10962,34866,7350,3709,158489,117896,96820
