"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"3/16/2019 7 p.m. EDT",14225,15632,34757,7148,3803,131573,90784,90635,389189
US48,"3/16/2019 8 p.m. EDT",13873,13150,37272,7474,3851,136920,95380,90594,399266
US48,"3/16/2019 9 p.m. EDT",15014,6014,40398,7511,4029,143122,99801,90522,407198
US48,"3/16/2019 10 p.m. EDT",18420,802,41132,7545,4014,145540,102955,90515,411698
US48,"3/16/2019 11 p.m. EDT",20851,508,39685,7238,3793,140759,100923,90527,404994
US48,"3/17/2019 12 a.m. EDT",27235,329,37445,7134,3632,129074,93266,90581,389495
US48,"3/17/2019 1 a.m. EDT",21198,311,35821,6725,3526,128649,94081,90585,381586
US48,"3/17/2019 2 a.m. EDT",20683,305,33445,6686,3506,124134,91597,90542,371606
US48,"3/17/2019 3 a.m. EDT",20337,222,32030,6698,3533,121113,91041,90587,366170
US48,"3/17/2019 4 a.m. EDT",19509,148,31350,6654,3534,120283,90806,90629,363399
US48,"3/17/2019 5 a.m. EDT",19187,135,30829,6621,3538,121060,92960,90660,365498
US48,"3/17/2019 6 a.m. EDT",18543,96,31800,6654,3537,122273,96195,90802,370369
US48,"3/17/2019 7 a.m. EDT",17375,28,34628,6699,3545,127760,100245,90850,381507
US48,"3/17/2019 8 a.m. EDT",16579,446,38191,6866,3640,134304,104834,90974,396036
US48,"3/17/2019 9 a.m. EDT",16021,1524,40488,7152,4207,139578,107648,90868,407636
US48,"3/17/2019 10 a.m. EDT",14799,3345,41041,7286,4501,142201,107846,90895,412137
US48,"3/17/2019 11 a.m. EDT",11555,10833,39645,7226,4544,139114,106551,90872,410476
US48,"3/17/2019 12 p.m. EDT",9730,19651,36215,7194,4193,131978,104141,90871,404097
US48,"3/17/2019 1 p.m. EDT",8866,22645,33313,7100,3914,128221,99347,90833,394476
US48,"3/17/2019 2 p.m. EDT",8821,23337,30997,7114,3901,125940,96488,90787,387907
US48,"3/17/2019 3 p.m. EDT",10292,23234,29300,6664,3855,123607,93586,90775,381864
US48,"3/17/2019 4 p.m. EDT",11102,22360,28553,6478,3838,122820,91092,90775,377504
US48,"3/17/2019 5 p.m. EDT",11206,21626,28611,6508,3827,123001,90114,90896,376170
US48,"3/17/2019 6 p.m. EDT",11731,20057,29805,6534,3826,126683,91121,90966,381291
US48,"3/17/2019 7 p.m. EDT",11191,17372,35599,6593,3828,131508,93468,91003,391093
US48,"3/17/2019 8 p.m. EDT",10598,13828,38694,6716,3839,138822,99181,90925,403005
US48,"3/17/2019 9 p.m. EDT",11366,5877,42530,6873,4060,147766,103229,90658,412849
US48,"3/17/2019 10 p.m. EDT",15081,796,42201,6866,4293,149018,105477,90343,414848
US48,"3/17/2019 11 p.m. EDT",18987,478,41730,6742,3845,141206,102311,90116,406260
US48,"3/18/2019 12 a.m. EDT",20654,405,38894,6659,3547,130326,99074,90146,390669
US48,"3/18/2019 1 a.m. EDT",22195,384,35997,6583,3513,125528,94570,89974,379606
US48,"3/18/2019 2 a.m. EDT",21854,276,33451,6620,3387,123272,91924,89990,371543
US48,"3/18/2019 3 a.m. EDT",20892,228,31744,6678,3338,122194,92195,90017,367759
US48,"3/18/2019 4 a.m. EDT",20129,127,29976,6690,3370,123297,93913,90100,368051
US48,"3/18/2019 5 a.m. EDT",19211,125,30575,6973,3474,127734,97814,90097,376406
US48,"3/18/2019 6 a.m. EDT",17591,120,36389,7198,3539,139591,103304,90143,398282
US48,"3/18/2019 7 a.m. EDT",16001,27,42062,7235,4163,158412,110496,90131,428822
US48,"3/18/2019 8 a.m. EDT",14901,428,47399,7789,5199,172387,116286,90089,454928
US48,"3/18/2019 9 a.m. EDT",14061,1928,48189,7888,5674,177782,118652,90063,464981
US48,"3/18/2019 10 a.m. EDT",12923,4546,46340,7659,5400,175697,118416,90117,461880
US48,"3/18/2019 11 a.m. EDT",10355,11742,44060,7721,4767,166472,117094,90089,452792
US48,"3/18/2019 12 p.m. EDT",9652,19664,39475,8045,4665,155529,116153,90097,443726
US48,"3/18/2019 1 p.m. EDT",9869,22568,35084,8740,4480,148906,112753,90071,432844
US48,"3/18/2019 2 p.m. EDT",10741,23102,32746,8706,4156,146069,110642,90102,426640
US48,"3/18/2019 3 p.m. EDT",12452,22585,31559,8562,3968,142786,109157,90184,421699
US48,"3/18/2019 4 p.m. EDT",14308,21428,31349,8568,3935,140618,107799,90127,418657
US48,"3/18/2019 5 p.m. EDT",15441,20302,31022,8907,3915,139821,106494,90152,416526
US48,"3/18/2019 6 p.m. EDT",15476,17753,32200,8868,3866,142782,108424,90271,420224
US48,"3/18/2019 7 p.m. EDT",14781,15308,36251,8899,3880,146333,109171,90386,425609
US48,"3/18/2019 8 p.m. EDT",14403,12360,41576,9244,4095,152934,111865,90411,437647
US48,"3/18/2019 9 p.m. EDT",15702,5471,46375,8424,4354,158407,114157,90406,444177
US48,"3/18/2019 10 p.m. EDT",20470,938,43812,7953,4432,158809,113994,90448,442127
US48,"3/18/2019 11 p.m. EDT",26005,641,40646,7569,4108,149645,108571,90570,428768
US48,"3/19/2019 12 a.m. EDT",30444,373,38557,6886,3654,136486,99478,90368,407402
US48,"3/19/2019 1 a.m. EDT",30830,260,36844,7210,3512,129279,95438,90731,395214
US48,"3/19/2019 2 a.m. EDT",32385,173,33858,7244,3485,124671,91789,90815,385355
US48,"3/19/2019 3 a.m. EDT",33464,66,32108,7224,3483,122834,90577,90955,381722
US48,"3/19/2019 4 a.m. EDT",33487,11,31218,7201,3484,121388,91414,91095,380375
US48,"3/19/2019 5 a.m. EDT",34054,11,31276,7214,3524,125489,94510,91201,388301
US48,"3/19/2019 6 a.m. EDT",34445,10,34502,7281,3526,137675,97600,91319,407424
US48,"3/19/2019 7 a.m. EDT",34811,21,41604,7813,3954,154330,103944,91378,438819
US48,"3/19/2019 8 a.m. EDT",36293,415,46768,8440,4803,165273,109144,91360,463430
US48,"3/19/2019 9 a.m. EDT",36672,1597,46595,8388,4845,165028,111261,91317,466643
US48,"3/19/2019 10 a.m. EDT",35643,3778,45236,8428,4323,160323,112155,91329,461926
US48,"3/19/2019 11 a.m. EDT",30084,10037,42737,8292,4070,155490,110612,91301,452921
US48,"3/19/2019 12 p.m. EDT",29016,16249,38391,8257,3971,145689,108374,91314,441622
US48,"3/19/2019 1 p.m. EDT",28458,19035,34433,8382,3925,139913,104474,91298,430023
US48,"3/19/2019 2 p.m. EDT",26751,19865,32988,8441,3876,137729,103438,91288,424588
US48,"3/19/2019 3 p.m. EDT",25035,20501,31856,8336,3878,135239,100785,91237,416865
US48,"3/19/2019 4 p.m. EDT",24382,19573,31509,8512,3863,134714,99198,91259,413326
US48,"3/19/2019 5 p.m. EDT",23918,17812,31765,8741,3820,135065,98667,91295,411509
US48,"3/19/2019 6 p.m. EDT",24064,14422,31973,8901,3842,138228,99126,91283,412617
US48,"3/19/2019 7 p.m. EDT",23254,10209,36673,9049,3839,142332,100267,91242,417960
US48,"3/19/2019 8 p.m. EDT",22772,7963,40455,9118,3872,148474,105831,91390,430918
US48,"3/19/2019 9 p.m. EDT",23781,3207,44276,8594,3903,154022,109732,91393,440065
US48,"3/19/2019 10 p.m. EDT",27349,522,41357,7777,3914,153278,109956,91431,436839
US48,"3/19/2019 11 p.m. EDT",30543,341,40347,7563,3605,144713,105330,91496,425208
US48,"3/20/2019 12 a.m. EDT",30801,257,38318,7283,3464,134662,102191,91519,409626
US48,"3/20/2019 1 a.m. EDT",33463,222,35673,7224,3419,127683,92510,91556,392939
US48,"3/20/2019 2 a.m. EDT",32308,90,32837,7343,2681,124573,89302,91583,381758
US48,"3/20/2019 3 a.m. EDT",31109,18,31248,7294,2639,123098,87992,91597,375951
US48,"3/20/2019 4 a.m. EDT",29835,23,29891,7253,2643,124827,89530,91588,376564
US48,"3/20/2019 5 a.m. EDT",29687,34,29761,7280,2643,127821,91476,91574,381267
US48,"3/20/2019 6 a.m. EDT",29805,34,33747,7446,2709,137538,96664,91518,400447
US48,"3/20/2019 7 a.m. EDT",29665,48,40149,8058,2971,152170,104001,91355,429350
US48,"3/20/2019 8 a.m. EDT",29350,356,43152,8200,3406,165730,111014,91308,453499
US48,"3/20/2019 9 a.m. EDT",29951,1392,43674,9271,3526,162966,114202,91250,457269
US48,"3/20/2019 10 a.m. EDT",28984,3394,43799,9249,3516,158637,114109,91264,453998
US48,"3/20/2019 11 a.m. EDT",27963,6615,42203,9084,3314,152661,111597,91283,445709
US48,"3/20/2019 12 p.m. EDT",26762,9698,39005,9064,3094,147805,109196,91356,437134
US48,"3/20/2019 1 p.m. EDT",26218,12484,35820,9036,3189,143991,106161,91295,429338
US48,"3/20/2019 2 p.m. EDT",27239,14557,34311,8815,3006,139332,105055,91299,424720
US48,"3/20/2019 3 p.m. EDT",28532,14665,33163,8744,2763,136724,101494,91260,418420
US48,"3/20/2019 4 p.m. EDT",29438,14201,32333,8959,2844,136323,100958,91088,417142
US48,"3/20/2019 5 p.m. EDT",28582,12824,32927,8896,2897,138015,101154,91055,417170
US48,"3/20/2019 6 p.m. EDT",28248,10460,33327,9183,2958,139664,103339,91094,419021
US48,"3/20/2019 7 p.m. EDT",27970,7869,36202,9436,2910,143621,103912,91123,423956
US48,"3/20/2019 8 p.m. EDT",27704,5783,38806,9383,2850,148692,104558,91059,429769
US48,"3/20/2019 9 p.m. EDT",22966,2316,43016,9011,2973,155359,107431,91071,434884
US48,"3/20/2019 10 p.m. EDT",22404,412,41961,7832,3096,155187,107936,91104,430926
US48,"3/20/2019 11 p.m. EDT",22178,204,40554,7274,3016,148348,104985,91179,418696
US48,"3/21/2019 12 a.m. EDT",20935,200,38231,7209,2919,141169,100613,91449,403677
US48,"3/21/2019 1 a.m. EDT",22175,170,35049,7019,2854,128782,94172,91382,382442
US48,"3/21/2019 2 a.m. EDT",22702,186,31185,6960,2879,123993,90185,91446,370346
US48,"3/21/2019 3 a.m. EDT",23277,159,29166,6850,2911,119627,87690,91526,362200
US48,"3/21/2019 4 a.m. EDT",23059,156,28942,6942,2884,118574,86452,91859,359903
US48,"3/21/2019 5 a.m. EDT",23616,207,28862,6997,2874,121602,86823,92076,364138
US48,"3/21/2019 6 a.m. EDT",24598,204,30792,7241,2903,129505,92638,92143,380912
US48,"3/21/2019 7 a.m. EDT",24015,240,36112,7706,3007,142759,100176,92210,407118
US48,"3/21/2019 8 a.m. EDT",23452,298,40208,8140,3294,154750,108945,92132,432180
US48,"3/21/2019 9 a.m. EDT",22466,1054,42828,9109,3620,158028,113233,92098,443238
US48,"3/21/2019 10 a.m. EDT",20744,3001,44854,8947,3654,158492,114283,92085,446903
US48,"3/21/2019 11 a.m. EDT",15789,7936,43530,8871,3558,157994,115531,92118,446159
US48,"3/21/2019 12 p.m. EDT",13337,12900,32792,8683,3502,155419,113935,92095,439768
US48,"3/21/2019 1 p.m. EDT",13388,17002,35910,8610,3388,151248,111522,92129,434160
US48,"3/21/2019 2 p.m. EDT",12837,18667,33492,8793,3223,149316,109890,92106,429117
US48,"3/21/2019 3 p.m. EDT",12932,18815,32644,8484,3028,148021,108933,92411,426143
US48,"3/21/2019 4 p.m. EDT",15084,17211,31600,8524,2907,146686,107231,92036,422309
US48,"3/21/2019 5 p.m. EDT",17604,16798,31607,8549,2884,147097,105837,92065,423502
US48,"3/21/2019 6 p.m. EDT",19488,16258,31440,8486,2948,147306,105471,92057,424635
US48,"3/21/2019 7 p.m. EDT",20792,12527,34140,8144,3018,147573,105299,92106,424645
US48,"3/21/2019 8 p.m. EDT",22034,8636,38262,8153,3043,149609,107476,92074,430309
US48,"3/21/2019 9 p.m. EDT",24831,3931,41207,7870,3091,151697,108947,92105,434545
US48,"3/21/2019 10 p.m. EDT",29884,416,41672,6908,3085,149706,108386,91990,432886
US48,"3/21/2019 11 p.m. EDT",35241,173,39753,6642,3018,138692,104022,92077,420487
US48,"3/22/2019 12 a.m. EDT",37693,169,36909,6953,2696,125657,95233,92177,398680
US48,"3/22/2019 1 a.m. EDT",42505,167,34204,6605,2525,119078,87116,92218,385623
US48,"3/22/2019 2 a.m. EDT",43823,155,30323,6562,2448,113111,82806,92340,372708
US48,"3/22/2019 3 a.m. EDT",44566,156,29634,6502,2446,110152,81249,92411,366680
US48,"3/22/2019 4 a.m. EDT",44222,157,28299,6562,2437,109003,81425,92525,364298
US48,"3/22/2019 5 a.m. EDT",43459,160,28820,6719,2503,110538,82853,92679,367684
US48,"3/22/2019 6 a.m. EDT",42661,165,31346,6895,2726,120195,88074,92782,385029
US48,"3/22/2019 7 a.m. EDT",41105,178,37879,7099,2924,135189,95451,92905,412683
US48,"3/22/2019 8 a.m. EDT",39505,624,43004,7105,3460,147579,102765,92975,437063
US48,"3/22/2019 9 a.m. EDT",38279,2380,44813,7086,3745,150715,107738,93050,447806
US48,"3/22/2019 10 a.m. EDT",35843,5322,46531,6861,3719,149360,109798,93207,450747
US48,"3/22/2019 11 a.m. EDT",31343,11693,45344,6891,3702,144416,109978,93254,446508
US48,"3/22/2019 12 p.m. EDT",31121,18415,41410,6807,3592,137064,107026,93099,438270
US48,"3/22/2019 1 p.m. EDT",33958,21107,37447,6589,3509,132298,102203,92785,429693
US48,"3/22/2019 2 p.m. EDT",36390,21841,34830,6448,3312,127573,99762,92834,422794
US48,"3/22/2019 3 p.m. EDT",38182,21882,33479,6565,3050,125285,97350,92663,418114
